,Date,Ticker,Close,Sector,Close_z
200,2024-10-17,AAPL,232.1499938964844,Information Technology,0.8820113638875717
201,2024-10-18,AAPL,235.0,Information Technology,0.9999174856756401
202,2024-10-21,AAPL,236.47999572753903,Information Technology,1.061145619987979
203,2024-10-22,AAPL,235.8600006103516,Information Technology,1.0354961241132377
204,2024-10-23,AAPL,230.75999450683597,Information Technology,0.8245064213125137
205,2024-10-24,AAPL,230.57000732421875,Information Technology,0.8166465602882845
206,2024-10-25,AAPL,231.41000366210935,Information Technology,0.8513976123631167
207,2024-10-28,AAPL,233.3999938964844,Information Technology,0.9337244644501576
208,2024-10-29,AAPL,233.6699981689453,Information Technology,0.9448946709254367
209,2024-10-30,AAPL,230.1000061035156,Information Technology,0.7972023839756763
210,2024-10-31,AAPL,225.91000366210935,Information Technology,0.6238599698877392
211,2024-11-01,AAPL,222.91000366210935,Information Technology,0.49974852853753315
212,2024-11-04,AAPL,222.00999450683597,Information Technology,0.4625147173744129
213,2024-11-05,AAPL,223.4499969482422,Information Technology,0.5220883102246602
214,2024-11-06,AAPL,222.72000122070312,Information Technology,0.49188803624987176
215,2024-11-07,AAPL,227.47999572753903,Information Technology,0.6888112959373609
216,2024-11-08,AAPL,226.9600067138672,Information Technology,0.6672991006129994
217,2024-11-11,AAPL,224.22999572753903,Information Technology,0.5543572344746378
218,2024-11-12,AAPL,224.22999572753903,Information Technology,0.5543572344746378
219,2024-11-13,AAPL,225.1199951171875,Information Technology,0.5911769368246627
220,2024-11-14,AAPL,228.22000122070312,Information Technology,0.7194256787252493
221,2024-11-15,AAPL,225.0,Information Technology,0.5862126811749535
222,2024-11-18,AAPL,228.0200042724609,Information Technology,0.7111517088879213
223,2024-11-19,AAPL,228.27999877929688,Information Technology,0.721907806550104
224,2024-11-20,AAPL,229.0,Information Technology,0.7516946029752282
225,2024-11-21,AAPL,228.5200042724609,Information Technology,0.7318369491129557
226,2024-11-22,AAPL,229.8699951171875,Information Technology,0.7876867189624889
227,2024-11-25,AAPL,232.8699951171875,Information Technology,0.9117981603126948
228,2024-11-26,AAPL,235.05999755859372,Information Technology,1.0023996135004936
229,2024-11-27,AAPL,234.92999267578125,Information Technology,0.9970212490376867
230,2024-11-29,AAPL,237.3300018310547,Information Technology,1.0963107808759123
231,2024-12-02,AAPL,239.58999633789065,Information Technology,1.189807839438232
232,2024-12-03,AAPL,242.6499938964844,Information Technology,1.3164014086132927
233,2024-12-04,AAPL,243.00999450683597,Information Technology,1.3312948068258548
234,2024-12-05,AAPL,243.0399932861328,Information Technology,1.3325358707382808
235,2024-12-06,AAPL,242.83999633789065,Information Technology,1.3242619009009553
236,2024-12-09,AAPL,246.75,Information Technology,1.486020630963947
237,2024-12-10,AAPL,247.7700042724609,Information Technology,1.5282186977767775
238,2024-12-11,AAPL,246.4900054931641,Information Technology,1.4752645333017667
239,2024-12-12,AAPL,247.9600067138672,Information Technology,1.5360791900644413
240,2024-12-13,AAPL,248.1300048828125,Information Technology,1.5431120959893407
241,2024-12-16,AAPL,251.0399932861328,Information Technology,1.6634997143388301
242,2024-12-17,AAPL,253.47999572753903,Information Technology,1.764443787639146
243,2024-12-18,AAPL,248.0500030517578,Information Technology,1.539802381801723
244,2024-12-19,AAPL,249.7899932861328,Information Technology,1.6117866137762444
245,2024-12-20,AAPL,254.4900054931641,Information Technology,1.806228376902316
246,2024-12-23,AAPL,255.2700042724609,Information Technology,1.8384973011522925
247,2024-12-24,AAPL,258.20001220703125,Information Technology,1.9597131371279808
